day,reading_1,reading_2,read
343,Revelation 3,Amos 1-4,
344,Revelation 4-5,Amos 5-9,
345,Revelation 6-7,Obadiah 1,
346,Revelation 8-9,Micah 1-3,
347,Revelation 10-11,Micah 4-7,
348,Proverbs 30:11-23,Psalms 140-143,
349,OFF,,
350,Revelation 12,Nahum 1-3,
351,Revelation 13-14,Habakkuk 1-3,
352,Revelation 15-16,Zephaniah 1-3,
353,Revelation 17-18,Haggai 1-2,
354,Revelation 19,Zechariah 1-8,
355,Proverbs 30:24-33,Psalms 144-147,
356,OFF,,
357,Revelation 20-21,Zechariah 9-14,
358,Revelation 22,Malachi 1-4,
359,James 1-2,Jonah 1-4,
360,James 3,Esther 1-4,
361,James 4-5,Esther 5-10,
362,Proverbs 31,Psalms 148,
363,OFF,,
364,Galatians 1-3,Psalms 149,
365,Galatians 4-6,Psalms 150,
